ISO (3),Companies,Ratings,Environmental score,Social score,Governance score,Risk
BEL,1,9.8,0.5,3.8,8.2,Negligible ESG Risk
DNK,2,14.1,2.65,6.65,4.85,Low ESG Risk
IRL,8,16.25,3.625,7.2625,5.375,Low ESG Risk
SWE,5,17.259999999999998,3.6399999999999997,6.3,7.4399999999999995,Low ESG Risk
ESP,19,17.58421052631579,3.505263157894737,8.01578947368421,7.194736842105263,Low ESG Risk
DEU,17,19.28235294117647,4.541176470588235,8.288235294117648,6.747058823529412,Low ESG Risk
ITA,4,19.8,3.675,9.675,6.875,Low ESG Risk
FRA,21,20.317619047619047,4.514285714285714,8.852380952380953,7.023809523809524,Medium ESG Risk
USA,70,21.525714285714287,4.4228571428571435,9.847142857142856,7.52,Medium ESG Risk
NLD,6,22.933333333333334,6.433333333333334,9.783333333333333,6.333333333333333,Medium ESG Risk
CAN,2,23.6,5.3500000000000005,10.5,7.050000000000001,Medium ESG Risk
UKR,1,25.7,9.7,11.1,5.2,Medium ESG Risk
CHE,1,27.5,1.0,12.5,14.7,Medium ESG Risk
LUX,1,38.1,14.9,14.6,6.7,High ESG Risk
