,ISO (3),Companies,Ratings,Risk
0,PRT,5,14.0,Low ESG Risk
1,FIN,5,15.680000000000001,Low ESG Risk
2,SGP,5,16.34,Low ESG Risk
3,BEL,7,16.985714285714288,Low ESG Risk
4,ESP,40,18.07,Low ESG Risk
5,ITA,18,18.916666666666668,Low ESG Risk
6,DNK,12,19.166666666666668,Low ESG Risk
7,DEU,37,19.2,Low ESG Risk
8,NLD,21,19.67142857142857,Low ESG Risk
9,IRL,21,20.123809523809523,Medium ESG Risk
10,FRA,51,20.136666666666667,Medium ESG Risk
11,CHE,11,21.09090909090909,Medium ESG Risk
12,AUT,5,21.14,Medium ESG Risk
13,POL,6,21.349999999999998,Medium ESG Risk
14,SWE,33,21.48181818181818,Medium ESG Risk
15,GBR,54,21.8,Medium ESG Risk
16,CZE,1,22.7,Medium ESG Risk
17,THA,20,22.990000000000002,Medium ESG Risk
18,MEX,10,23.73,Medium ESG Risk
19,ZAF,12,24.441666666666666,Medium ESG Risk
20,USA,366,24.47185792349727,Medium ESG Risk
21,IDN,8,24.825,Medium ESG Risk
22,LUX,8,24.925,Medium ESG Risk
23,CAN,34,25.45,Medium ESG Risk
24,IND,64,25.45,Medium ESG Risk
25,GRC,2,25.450000000000003,Medium ESG Risk
26,JPN,123,25.450406504065043,Medium ESG Risk
27,ISR,14,25.485714285714288,Medium ESG Risk
28,AUS,29,25.76206896551724,Medium ESG Risk
29,BRA,19,25.92105263157895,Medium ESG Risk
30,HUN,1,26.1,Medium ESG Risk
31,ARE,19,26.7,Medium ESG Risk
32,SVK,2,27.299999999999997,Medium ESG Risk
33,KWT,8,27.8125,Medium ESG Risk
34,LIE,1,28.0,Medium ESG Risk
35,CHN,202,28.052475247524754,Medium ESG Risk
36,MYS,11,28.05454545454546,Medium ESG Risk
37,TUR,13,28.407692307692308,Medium ESG Risk
38,ARG,1,29.3,Medium ESG Risk
39,PAN,1,30.0,Medium ESG Risk
40,KOR,42,30.1,High ESG Risk
41,NOR,13,30.323076923076922,High ESG Risk
42,COL,2,30.4,High ESG Risk
43,PER,2,31.4,High ESG Risk
44,NZL,3,31.5,High ESG Risk
45,SAU,24,31.675,High ESG Risk
46,QAT,5,33.06,High ESG Risk
47,EGY,3,33.1,High ESG Risk
48,PHL,5,33.4,High ESG Risk
49,UKR,2,34.85,High ESG Risk
50,CHL,6,37.483333333333334,High ESG Risk
51,CYP,3,38.73333333333333,High ESG Risk
52,RUS,4,44.875,Severe ESG Risk
53,VNM,1,45.3,Severe ESG Risk
